hip	spect	ext	sigma_ext
8220	K5V:	-0.05	0.00
8240	M3III	-0.03	0.01
8248	F5V:	-0.05	0.02
8250	F5V	-0.01	0.00
8267	K2III:	-0.15	0.03
8275	K5V:	-0.11	0.00
8276	G0V:	-0.08	0.02
8321	G9Ib	-0.12	0.01
8358	K1III	-0.13	0.02
8369	K0III	-0.01	0.00
8383	G1V	-0.06	0.01
8388	K2III	-0.06	0.02
8390	K0III:	-0.16	0.03
8404	G9III	-0.00	0.00
8407	K0III	-0.08	0.01
8419	K5III:	-0.14	0.01
8423	K0III	-0.06	0.00
8437	K0III	-0.12	0.03
8492	G5V:	-0.20	0.02
8496	K0III	-0.12	0.02
8497	F3III	-0.04	0.00
8498	G5V	-0.02	0.00
8522	G8V	-0.09	0.02
8541	K2III/IV	-0.12	0.01
8543	K1V	-0.10	0.02
8547	K2III	-0.08	0.01
8555	G5III	-0.18	0.02
8565	M5III	-0.39	0.02
8576	F0V:	-0.06	0.02
8587	G5V:	-0.09	0.02
8588	F2V	-0.05	0.01
8598	F5V	-0.02	0.00
8607	G5V:	-0.11	0.03
8611	F8V:	-0.11	0.04
8618	M3III:	-0.05	0.02
8637	A5V:	-0.16	0.01
8641	K1III	-0.01	0.00
8643	A0V:	-0.03	0.01
8645	K2III	-0.06	0.01
8651	K7V:	-0.13	0.02
8668	K5III:	-0.20	0.03
8682	M8III:	-0.84	0.09
8689	K2III	-0.10	0.01
8691	M4V:	-0.11	0.01
8726	M0V:	-0.11	0.02
8733	G3V:	-0.08	0.03
8734	F8V:	-0.08	0.01
8771	A3V	-0.03	0.01
8778	F0V	-0.04	0.00
8816	F8V:	-0.07	0.02
8837	M4III	-0.11	0.01
8839	K0III/IV	-0.07	0.02
8865	K5V	-0.11	0.02
8870	M0III	-0.07	0.02
8881	K2V	-0.02	0.01
8882	A3V	-0.14	0.01
8926	K1II-III	-0.12	0.02
8952	K0III:	-0.18	0.02
8953	M0III:	-0.28	0.05
8972	M2V:	-0.04	0.01
8974	G5V	-0.04	0.01
8977	K0III	-0.14	0.02
8989	G0V	-0.02	0.00
9004	A9V	-0.04	0.01
9018	G0V:	-0.05	0.02
9049	K0III	-0.04	0.01
9056	G5V	-0.04	0.01
9089	K7III:	-0.28	0.04
9092	K2III	-0.03	0.01
9093	K5III:	-0.15	0.03
9100	K1III	-0.04	0.01
9110	K1III:	-0.19	0.00
9114	G6:III:	-0.30	0.02
9132	M2III	-0.03	0.01
9146	G6V	-0.03	0.01
9149	G8II/III	-0.02	0.00
9153	F0V	-0.01	0.00
9155	A0V:	-0.07	0.01
9156	K7V:	-0.14	0.02
9171	M5III	-0.55	0.01
